"Rank","Team","Points","Conference","Change","Previous.Rank","Previous.Ranking.Class","Year","Season","Gender","Division","Description","elevation","lat","long"
1,"NORTHERN ARIZONA",92,"Big Sky",0,1,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",6893,35.18,-111.654
2,"IOWA STATE",137,"Big 12",6,8,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",899,42.027,-93.647
3,"OKLAHOMA STATE",186,"Big 12",0,3,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",938,36.127,-97.074
4,"ARKANSAS",195,"SEC",0,4,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",1434,36.069,-94.175
5,"STANFORD",236,"Pac-12",0,5,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",89,37.428,-122.17
6,"TULSA",237,"American",0,6,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",778,36.152,-95.946
7,"BYU",246,"WCC",0,7,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",4665,40.252,-111.649
8,"COLORADO",249,"Pac-12",6,14,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",5345,40.001,-105.266
9,"NOTRE DAME",290,"ACC",-7,2,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",725,41.699,-86.239
10,"WAKE FOREST",356,"ACC",5,15,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",955,36.136,-80.279
11,"WISCONSIN",361,"Big Ten",7,18,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",883,43.077,-89.413
12,"HARVARD",364,"Ivy League",20,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st",10,42.377,-71.117
13,"WASHINGTON",373,"Pac-12",12,25,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",95,47.236,-122.55
14,"TEXAS",393,"Big 12",18,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st",522,30.285,-97.734
15,"OLE MISS",395,"SEC",-3,12,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",509,34.365,-89.538
16,"PORTLAND",430,"WCC",5,21,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",33,45.573,-122.728
17,"AIR FORCE",453,"Mountain West",2,19,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",6788,38.998,-104.862
18,"NORTH CAROLINA",460,"ACC",14,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st",440,35.905,-79.047
19,"SYRACUSE",485,"ACC",11,30,"Ranked",2021,"Cross Country","Men","I","FINAL - November 21st",551,43.039,-76.135
20,"FLORIDA STATE",517,"ACC",12,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st",79,30.442,-84.299
21,"MINNESOTA",518,"Big Ten",11,32,"Unranked",2021,"Cross Country","Men","I","FINAL - November 21st",830,44.974,-93.228
