"Team","team_performance","reg_season_performance"
"AIR FORCE",0.17338003502627,0.0765124555160142
"ALABAMA",0.124343257443082,0.0765124555160142
"ARIZONA",0.119089316987741,0.106761565836299
"ARIZONA STATE",0,0
"ARKANSAS",0.728546409807356,0.697508896797153
"BAYLOR",0.0297723292469352,0
"BOISE STATE",0.36077057793345,0.282918149466192
"BOSTON COLLEGE",0.0963222416812609,0.0587188612099644
"BRADLEY",0.0122591943957968,0
"BUTLER",0.0998248686514886,0.0569395017793594
"BYU",0.802101576182137,0.729537366548043
"CAL POLY",0.00525394045534151,0
"CALIFORNIA",0.0577933450087566,0.0160142348754448
"CHARLOTTE",0.00525394045534151,0.00355871886120996
"COLORADO",1,1
"COLORADO STATE",0.180385288966725,0.0943060498220641
"COLUMBIA",0.0858143607705779,0.0676156583629893
"CONNECTICUT",0.0402802101576182,0
"CORNELL",0.0525394045534151,0.0338078291814947
"DARTMOUTH",0.0823117338003503,0.0338078291814947
"DUKE",0.0823117338003503,0.0231316725978648
"EASTERN KENTUCKY",0.138353765323993,0.0711743772241993
"EASTERN MICHIGAN",0.0472854640980736,0.0409252669039146
"FLORIDA",0.0507880910683012,0
"FLORIDA STATE",0.388791593695271,0.354092526690391
"FURMAN",0.194395796847636,0.110320284697509
"GEORGETOWN",0.418563922942207,0.398576512455516
"GEORGIA",0.0577933450087566,0.0284697508896797
"GEORGIA TECH",0.0262697022767075,0.0302491103202847
"GONZAGA",0.0297723292469352,0.0409252669039146
"HARVARD",0.0928196147110333,0
"ILLINOIS",0.0507880910683012,0.0284697508896797
"INDIANA",0.302977232924694,0.275800711743772
"IONA",0.373029772329247,0.343416370106762
"IOWA STATE",0.546409807355517,0.483985765124555
"KANSAS",0.00700525394045534,0
"LIBERTY",0.00875656742556918,0
"LOUISVILLE",0.0437828371278459,0
"MICHIGAN",0.663747810858144,0.587188612099644
"MICHIGAN STATE",0.509632224168126,0.494661921708185
"MIDDLE TENNESSEE",0.0227670753064799,0.00711743772241993
"MINNESOTA",0.267950963222417,0.181494661921708
"MISSISSIPPI STATE",0.0542907180385289,0.0266903914590747
"MISSOURI",0.0262697022767075,0
"NAVY",0.010507880910683,0.0106761565836299
"NC STATE",0.537653239929948,0.512455516014235
"NEW MEXICO",0.605954465849387,0.612099644128114
"NORTH CAROLINA",0.164623467600701,0.0587188612099644
"NORTHERN ARIZONA",0.588441330998249,0.52846975088968
"NOTRE DAME",0.457092819614711,0.304270462633452
"OHIO STATE",0.0402802101576182,0
"OKLAHOMA",0.115586690017513,0.0943060498220641
"OKLAHOMA STATE",0.553415061295972,0.556939501779359
"OLE MISS",0.327495621716287,0.268683274021352
"OREGON",0.728546409807356,0.706405693950178
"OREGON STATE",0.0350262697022767,0.0160142348754448
"PENN",0.0262697022767075,0
"PENN STATE",0.197898423817863,0.176156583629893
"PORTLAND",0.462346760070053,0.362989323843416
"PRINCETON",0.157618213660245,0.103202846975089
"PROVIDENCE",0.352014010507881,0.272241992882562
"PURDUE",0.0455341506129597,0.0195729537366548
"RICE",0,0
"SAN FRANCISCO",0.143607705779334,0.0622775800711744
"SMU",0,0
"SOUTHERN UTAH",0.166374781085814,0.135231316725979
"STANFORD",0.968476357267951,0.976868327402135
"SYRACUSE",0.434325744308231,0.418149466192171
"TEXAS",0.21015761821366,0.185053380782918
"TEXAS A&M",0.0227670753064799,0
"TOLEDO",0.0280210157618214,0.0266903914590747
"TULSA",0.299474605954466,0.197508896797153
"UCLA",0.152364273204904,0.0871886120996441
"UTAH",0.0788091068301226,0.0106761565836299
"UTAH STATE",0.110332749562172,0.0195729537366548
"UTEP",0.0490367775831874,0.0462633451957295
"VANDERBILT",0.0910683012259194,0.0711743772241993
"VILLANOVA",0.350262697022767,0.300711743772242
"VIRGINIA",0.294220665499124,0.218861209964413
"VIRGINIA TECH",0.0840630472854641,0
"WAKE FOREST",0.0665499124343257,0.0516014234875445
"WASHINGTON",0.567425569176883,0.50711743772242
"WASHINGTON STATE",0.0735551663747811,0.0427046263345196
"WEBER STATE",0.0472854640980736,0.00533807829181495
"WEST VIRGINIA",0.120840630472855,0.0284697508896797
"WILLIAM & MARY",0.0788091068301226,0.0551601423487545
"WISCONSIN",0.612959719789842,0.435943060498221
"WYOMING",0.0332749562171629,0
"YALE",0.00175131348511384,0
