"Team","Conference","Average.Rank","Average.Previous.Rank","Average.Change","elevation","lat","long"
"AIR FORCE","Mountain West",16.5,32,15.5,6788,38.998,-104.862
"ALABAMA","SEC",11.5,10.5,-1,222,33.214,-87.539
"ARIZONA","Pac-12",9,12,3,2441,32.232,-110.95
"ARIZONA STATE","Pac-12",31,32,1,1495,33.424,-111.928
"ARKANSAS","SEC",11.4545454545455,13.6363636363636,2.18181818181818,1434,36.069,-94.175
"BAYLOR","Big 12",23,32,9,470,31.549,-97.113
"BOISE STATE","Mountain West",10,16.1666666666667,6.16666666666667,2730,43.603,-116.206
"BOSTON COLLEGE","ACC",18,23.75,5.75,154,42.336,-71.169
"BUTLER","Atlantic 10",29,32,3,755,39.841,-86.171
"BUTLER","Big East",16,30.5,14.5,755,39.841,-86.171
"BYU","WCC",12.625,17.5,4.875,4665,40.252,-111.649
"BYU","West Coast",11,10,-1,4665,40.252,-111.649
"CALIFORNIA","Pac-12",20,32,12,305,37.872,-122.259
"COLORADO","Pac-12",7.18181818181818,7,-0.181818181818182,5345,40.001,-105.266
"COLORADO STATE","Mountain West",20,27.5,7.5,5003,40.573,-105.087
"COLUMBIA","Ivy League",24.3333333333333,26,1.66666666666667,138,40.808,-73.963
"CONNECTICUT","Big East (1st Ed.)",8,32,24,617,41.808,-72.254
"CORNELL","Ivy League",21.6666666666667,25.6666666666667,4,896,42.453,-76.474
"DARTMOUTH","Ivy League",23.75,27.25,3.5,541,43.7044,-72.289
"DUKE","ACC",17,25.5,8.5,394,36.001,-78.938
"EASTERN KENTUCKY","Ohio Valley",23,32,9,1004,37.735,-84.299
"EASTERN MICHIGAN","Mid-American",18,20.5,2.5,741,42.251,-83.624
"FLORIDA","SEC",19.5,32,12.5,102,29.644,-82.355
"FLORIDA STATE","ACC",12.5,13.625,1.125,79,30.442,-84.299
"FURMAN","SoCon",17.5,19,1.5,1027,34.926,-82.44
"GEORGETOWN","Big East",13,12,-1,141,38.908,-77.072
"GEORGETOWN","Big East (1st Ed.)",6.5,2.5,-4,141,38.908,-77.072
"GEORGIA","SEC",23.5,32,8.5,728,33.948,-83.377
"GEORGIA TECH","ACC",24,23.5,-0.5,928,33.776,-84.396
"GONZAGA","WCC",25,32,7,1909,47.667,-117.401
"HARVARD","Ivy League",28.25,32,3.75,10,42.377,-71.117
"ILLINOIS","Big Ten",21.5,24,2.5,751,40.102,-88.227
"INDIANA","Big Ten",21,24.4,3.4,771,39.178,-86.513
"IONA","Metro Atlantic",9,32,23,59,40.927,-73.786
"IOWA STATE","Big 12",15.5,16.3,0.8,899,42.027,-93.647
"KANSAS","Big 12",27,32,5,928,38.954,-95.256
"LIBERTY","ASUN",26,32,6,925,37.353,-79.177
"LOUISVILLE","ACC",31,32,1,546,38.212,-85.759
"MICHIGAN","Big Ten",10.4545454545455,10,-0.454545454545455,879,42.278,-83.738
"MICHIGAN STATE","Big Ten",10.1818181818182,10.9090909090909,0.727272727272727,863,42.702,-84.482
"MINNESOTA","Big Ten",20.6,22.3,1.7,830,44.974,-93.228
"MISSISSIPPI STATE","SEC",16,24.5,8.5,381,33.455,-88.794
"MISSOURI","SEC",16,32,16,748,38.94,-92.328
"NC STATE","ACC",8.55555555555556,12.1111111111111,3.55555555555556,404,35.785,-78.682
"NEW MEXICO","Mountain West",5.09090909090909,5.18181818181818,0.0909090909090909,5174,35.084,-106.62
"NORTH CAROLINA","ACC",16.6666666666667,26,9.33333333333333,440,35.905,-79.047
