Rank,Team,Points,Conference,Change,Year,Season,Gender,Division,Description
1.0,LSU,84.0,SEC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
2.0,OREGON,53.0,Pac-12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
3.0,NORTH CAROLINA A&T,35.0,MEAC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
4.0,FLORIDA,34.5,SEC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
5.0,SOUTHERN CALIFORNIA,33.0,Pac-12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
6.0,TEXAS,29.0,Big 12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
6.0,TEXAS A&M,29.0,SEC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
8.0,GEORGIA,25.0,SEC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
9.0,ARIZONA STATE,24.0,Pac-12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
10.0,FLORIDA STATE,23.5,ACC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
11.0,TENNESSEE,21.0,SEC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
12.0,IOWA,19.0,Big Ten,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
13.0,ALABAMA,18.0,SEC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
13.0,STEPHEN F. AUSTIN,18.0,Southland,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
15.0,MISSISSIPPI STATE,17.0,SEC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
15.0,KENTUCKY,17.0,SEC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
17.0,BYU,16.0,Independent,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
18.0,HOUSTON,15.0,American,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
18.0,AUBURN,15.0,SEC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
20.0,MINNESOTA,14.0,Big Ten,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
20.0,NORTHERN ARIZONA,14.0,Big Sky,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
20.0,CLEMSON,14.0,ACC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
23.0,KANSAS,13.5,Big 12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
24.0,GEORGETOWN,13.0,Big East,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
24.0,TULSA,13.0,American,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
24.0,MICHIGAN,13.0,Big Ten,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
27.0,OKLAHOMA,12.5,Big 12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
28.0,ARKANSAS,12.0,SEC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
28.0,VIRGINIA,12.0,ACC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
30.0,ARIZONA,10.0,Pac-12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
30.0,MIDDLE TENNESSEE,10.0,Conference USA,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
30.0,OLE MISS,10.0,SEC,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
33.0,IOWA STATE,9.0,Big 12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
34.0,KANSAS STATE,8.0,Big 12,NR,2021,Outdoor Track,Men,I,FINAL - June 12th
