time,tempC,tempF,windspeedMiles,windspeedKmph,winddirDegree,winddir16Point,weatherCode,weatherDesc,precipMM,precipInches,humidity,visibility,visibilityMiles,pressure,pressureInches,cloudcover,HeatIndexC,HeatIndexF,DewPointC,DewPointF,WindChillC,WindChillF,WindGustMiles,WindGustKmph,FeelsLikeC,FeelsLikeF,uvIndex,data.weather.maxtempF,data.weather.mintempF,data.weather.avgtempF,data.weather.totalSnow_cm,data.weather.sunHour,data.weather.uvIndex,zipCode,City,Date,Year
0,16,61,8,12,80,E,113,[{'value': 'Clear'}],0.0,0.0,80,10,6,1025,30,16,16,61,13,55,16,61,12,19,16,61,1,74,54,64,0.0,8.7,5,32311,Tallahasee,2021-11-20,2021
300,14,57,7,12,68,ENE,113,[{'value': 'Clear'}],0.0,0.0,78,10,6,1025,30,3,14,57,10,51,13,56,11,18,13,56,1,74,54,64,0.0,8.7,5,32311,Tallahasee,2021-11-20,2021
600,13,55,8,12,53,NE,113,[{'value': 'Sunny'}],0.0,0.0,76,10,6,1025,30,3,13,55,9,47,12,53,12,19,12,53,4,74,54,64,0.0,8.7,5,32311,Tallahasee,2021-11-20,2021
900,12,54,8,13,49,NE,113,[{'value': 'Sunny'}],0.0,0.0,61,10,6,1027,30,6,12,54,5,40,11,51,12,19,11,51,4,74,54,64,0.0,8.7,5,32311,Tallahasee,2021-11-20,2021
1200,19,67,9,15,68,ENE,113,[{'value': 'Sunny'}],0.0,0.0,53,10,6,1026,30,21,19,67,10,49,19,67,11,17,19,67,5,74,54,64,0.0,8.7,5,32311,Tallahasee,2021-11-20,2021
1500,23,74,8,13,71,ENE,116,[{'value': 'Partly cloudy'}],0.0,0.0,51,10,6,1023,30,25,25,77,13,55,23,74,9,15,25,77,6,74,54,64,0.0,8.7,5,32311,Tallahasee,2021-11-20,2021
1800,22,71,7,12,73,ENE,116,[{'value': 'Partly cloudy'}],0.0,0.0,62,10,6,1023,30,40,25,76,14,57,22,71,9,15,22,71,1,74,54,64,0.0,8.7,5,32311,Tallahasee,2021-11-20,2021
2100,18,64,6,9,49,NE,119,[{'value': 'Cloudy'}],0.0,0.0,69,10,6,1024,30,81,18,64,12,54,18,64,10,16,18,64,1,74,54,64,0.0,8.7,5,32311,Tallahasee,2021-11-20,2021
0,11,51,14,22,145,SE,116,[{'value': 'Partly cloudy'}],0.0,0.0,66,10,6,1007,30,32,11,51,5,40,8,47,24,39,8,47,1,64,50,58,0.0,11.6,4,74075,Stillwater,2021-03-15,2021
300,10,50,15,24,148,SSE,116,[{'value': 'Partly cloudy'}],0.0,0.0,67,10,6,1005,30,28,10,50,4,40,7,45,26,42,7,45,1,64,50,58,0.0,11.6,4,74075,Stillwater,2021-03-15,2021
600,10,50,14,22,161,SSE,116,[{'value': 'Partly cloudy'}],0.0,0.0,56,10,6,1004,30,70,10,50,2,35,7,45,26,41,7,45,4,64,50,58,0.0,11.6,4,74075,Stillwater,2021-03-15,2021
900,12,53,15,24,220,SW,122,[{'value': 'Overcast'}],0.0,0.0,57,10,6,1005,30,35,12,53,4,38,9,49,21,34,9,49,3,64,50,58,0.0,11.6,4,74075,Stillwater,2021-03-15,2021
1200,15,59,16,26,265,W,116,[{'value': 'Partly cloudy'}],0.0,0.0,54,10,6,1006,30,10,15,59,6,43,14,58,19,30,14,58,5,64,50,58,0.0,11.6,4,74075,Stillwater,2021-03-15,2021
1500,18,64,14,23,272,W,116,[{'value': 'Partly cloudy'}],0.0,0.0,50,10,6,1006,30,7,18,64,7,45,18,64,16,26,18,64,5,64,50,58,0.0,11.6,4,74075,Stillwater,2021-03-15,2021
1800,17,63,6,10,274,W,116,[{'value': 'Partly cloudy'}],0.0,0.0,54,10,6,1007,30,8,17,63,8,46,17,63,9,14,17,63,1,64,50,58,0.0,11.6,4,74075,Stillwater,2021-03-15,2021
2100,14,58,4,6,154,SSE,116,[{'value': 'Partly cloudy'}],0.0,0.0,62,10,6,1008,30,11,14,58,7,45,14,57,8,13,14,57,1,64,50,58,0.0,11.6,4,74075,Stillwater,2021-03-15,2021
0,1,33,6,9,64,ENE,122,[{'value': 'Overcast'}],0.0,0.0,84,10,6,1018,30,100,1,33,-2,29,-2,28,11,18,-2,28,1,39,33,36,0.0,3.7,1,47801,Terra Haute,2019-11-23,2019
300,1,34,6,9,69,ENE,119,[{'value': 'Cloudy'}],0.0,0.0,85,10,6,1016,30,72,1,34,-1,30,-2,28,10,17,-2,28,1,39,33,36,0.0,3.7,1,47801,Terra Haute,2019-11-23,2019
600,2,35,5,9,56,ENE,266,[{'value': 'Light drizzle'}],0.3,0.0,84,2,1,1014,30,91,2,35,-1,31,-2,28,9,14,-2,28,1,39,33,36,0.0,3.7,1,47801,Terra Haute,2019-11-23,2019
900,2,36,6,10,34,NE,263,[{'value': 'Patchy light drizzle'}],0.2,0.0,76,8,5,1015,30,81,2,36,-2,29,-1,31,9,15,-1,31,1,39,33,36,0.0,3.7,1,47801,Terra Haute,2019-11-23,2019
